,ReLU,Leaky ReLU,ELU
EEGNet,78.7962962962963,80.55555555555556,81.01851851851852
EEGNet drop=0.50,80.18518518518519,79.07407407407408,80.83333333333333
DeepConvNet,77.22222222222223,76.2962962962963,77.31481481481481
"DeepConvNet deepconv=[50, 150, 300]",77.31481481481481,75.83333333333333,76.66666666666667
EEGNet with eval mode,81.2037037037037,82.31481481481481,79.07407407407408
EEGNet drop=0.90,72.77777777777777,74.62962962962962,71.48148148148148
DeepConvNet with eval mode,80.0,80.37037037037038,79.44444444444444
EEGNet drop=0.10,81.3888888888889,79.81481481481481,79.07407407407408
DeepConvNet drop=0.90,74.81481481481481,72.5,71.66666666666667
DeepConvNet drop=0.50,78.05555555555556,79.72222222222223,80.92592592592592
DeepConvNet drop=0.10,80.27777777777777,80.55555555555556,79.35185185185185
EEGNet drop=0.70,82.87037037037038,77.87037037037038,79.72222222222223
EEGNet drop=0.65,82.4074074074074,82.22222222222223,78.8888888888889
EEGNet drop=0.75,81.2962962962963,81.01851851851852,76.2037037037037
EEGNet drop=0.40,82.68518518518519,81.1111111111111,81.57407407407408
EEGNet drop=0.55,83.33333333333333,80.92592592592592,81.48148148148148
